evening-nights-monday-friday,,,,,,,,
RIVER HOUSES A-B-C,,,,,,,,
Peabody Terrace,Mather House,Boylston Gate,Quad,Mass Ave Garden St,WCC,Memorial Hall,Lamont Library,Winthrop House
,4:30 PM,4:35,,,4:37,4:45,4:50,
,4:55,5:00,,,5:02,5:10,5:15,
,5:20,5:30,,,5:32,5:40,5:45,
,5:50,6:00,,,6:02,6:10,6:15,
,6:20,6:30,6:40,6:45,6:47,6:50,6:55,
,7:00,7:10,7:20,7:25,7:27,7:30,7:35,
,7:40,7:50,8:00,8:03,8:05,8:10,8:15,
,8:20,8:25,8:35,8:38,8:40,8:45,8:50,
,8:55,9:00,,,,9:05,9:10,9:15
9:20,9:25,9:30,9:40,9:43,9:45,9:50,9:55,10:00
9:40,9:45,9:50,10:00,10:03,10:05,10:10,10:15,10:20
10:05,10:10,10:15,10:25,10:27,10:30,10:35,10:40,10:45
10:25,10:30,10:35,10:45,10:47,10:50,10:55,11:00,11:05
10:50,11:00,11:05,11:15,11:17,11:20,11:25,11:30,11:35
11:10,11:15,11:25,11:30,11:32,11:35,11:40,11:45,11:50
11:40,11:45,11:50,11:55,11:57,12:00 AM,12:05,12:10,12:15
11:55,12:00 AM,12:05,12:10,12:12,,,12:15,To Allston Campus
12:20,12:25,12:30,12:35,12:37,,,,To Allston Campus
