overnight-service,,,,,,
EXTENDED OVERNIGHT,,,,,,
Quad,Mass Ave Garden St,Memorial Hall,Lamont Library,Winthrop House,Mather House,Boylston Gate
,,,,,12:40,12:46
12:50,12:52,1:00,1:05,1:08,1:10,1:15
1:20,1:22,1:30,1:35,1:38,1:40,1:45
1:50,1:52,2:00,2:05,2:08,2:10,2:15
2:20,2:22,2:30,2:35,2:38,2:40,2:45
2:50,2:52,3:00,3:05,3:08,3:10,3:15
3:20,3:22,3:30,3:35,3:38,3:40,3:45
3:50,3:52,To Allston Campus,,,,
<strong>FRIDAY AND SATURDAY NIGHT ONLY</strong>,,,,,,
,,4:00,4:05,4:08,4:10,4:15
4:20,4:22,4:30,4:35,4:38,4:40,4:45
4:50,4:52,To Allston Campus,,,,
