evening-nights-monday-friday,,,
QUAD YARD EXPRESS,,,
Quad,Mass Ave Garden St,Lamont Library,Boylston Gate
,,,4:45 PM
4:55,5:00,5:05,5:10
5:20,5:25,5:30,5:35
5:45,5:50,5:55,6:00
6:10,6:15,6:20,6:25
6:35,6:40,6:45,6:50
7:00,7:05,7:10,7:15
7:25,7:30,7:35,7:40
7:50,7:53,7:55,8:00
8:10,8:13,8:15,8:20
8:30,8:33,8:35,8:40
8:50,8:53,8:55,9:00
9:10,9:12,9:15,9:20
9:30,9:32,9:35,9:40
9:50,9:52,9:55,10:00
10:10,10:12,10:15,10:20
10:30,10:32,10:35,10:40
10:50,10:52,10:55,11:00
11:10,11:12,11:15,11:20
11:40,11:42,11:45,11:55
12:00,12:02,12:05,12:10
12:15,12:17,12:20,12:25
12:30,12:32,To Allston Campus,
