evening-nights-monday-friday,,,,,,,,
ALLSTON CAMPUS EXPRESS,,,,,,,,
WCC ,Maxwell Dworkin,Memorial Hall,Lamont Library,Soldiers Field Park,Hi Lab HBS,Stadium,HKS,Harvard Square
,,,4:15 PM,"
<p>To Allston Campus</p>
",,,,
,,,4:45,,,,,
,,,,4:15pm,4:15,4:17,4:23,4:25
,,,,4:30,4:30,4:32,4:38,4:40
4:27,4:29,4:30,4:35,4:45,4:45,4:47,4:53,4:55
4:42,4:44,4:45,4:50,5:00,5:00,5:02,5:08,5:10
4:57,4:59,5:00,5:05,5:15,5:15,5:17,5:23,5:25
5:12,5:14,5:15,5:20,5:30,5:30,5:32,5:38,5:40
5:27,5:29,5:30,5:35,5:45,5:45,5:47,5:53,5:55
5:42,5:44,5:45,5:50,6:00,6:00,6:02,6:08,6:10
5:57,5:59,6:00,6:05,6:15,6:15,6:17,6:23,6:25
6:27,6:29,6:30,6:35,6:45,6:45,6:47,6:53,6:55
,,,,7:00,7:00,7:02,7:08,7:10
6:57,6:59,7:00,7:05,7:15,7:15,7:17,7:23,7:25
7:12,7:14,7:15,7:20,7:30,7:30,7:32,7:38,7:40
7:27,7:29,7:30,7:35,7:45,7:45,7:47,7:53,7:55
7:42,7:44,7:45,7:50,8:00,8:00,8:02,8:08,8:10
7:57,7:59,8:00,8:05,8:15,8:15,8:17,8:23,8:25
8:12,8:14,8:15,8:20,8:30,8:30,8:32,8:38,8:40
8:27,8:29,8:30,8:35,8:45,8:45,8:47,8:53,8:55
8:42,8:44,8:45,8:50,9:00,9:00,9:02,9:08,9:10
8:57,8:59,9:00,9:05,9:15,9:15,9:17,9:23,9:25
9:12,9:14,9:15,9:20,9:30,9:30,9:32,9:38,9:40
9:27,9:29,9:30,9:35,9:45,9:45,9:47,9:53,9:55
9:42,9:44,9:45,9:50,10:00,10:00,10:02,10:08,10:10
9:57,9:59,10:00,10:05,10:15,10:15,10:17,10:23,10:25
10:12,10:14,10:15,10:20,To Allston,Campus,,,
10:27,10:29,10:30,10:35,10:45,10:45,10:47,10:53,10:55
10:57,10:59,11:00,11:05,11:15,11:15,11:17,11:23,11:25
11:27,11:29,11:30,11:35,11:45,11:45,11:47,11:53,11:55
11:57,11:59,12:00,12:05,12:15,12:15,12:17,12:23,12:25
